aircraft carrier,H
airplane,E
alarm clock,M
ambulance,M
angel,M
animal migration,H
ant,E
anvil,E
apple,E
arm,M
asparagus,H
axe,E
backpack,E
banana,E
bandage,M
barn,H
baseball,H
baseball bat,M
basket,M
basketball,H
bat,M
bathtub,M
beach,H
bear,M
beard,M
bed,E
bee,E
belt,E
bench,E
bicycle,E
binoculars,E
bird,E
birthday cake,E
blackberry,H
blueberry,H
book,E
boomerang,E
bottlecap,E
bowtie,E
bracelet,E
brain,E
bread,E
bridge,E
broccoli,M
broom,E
bucket,E
bulldozer,M
bus,M
bush,E
butterfly,E
cactus,E
cake,E
calculator,E
calendar,M
camel,M
camera,M
camouflage,H
campfire,M
candle,E
cannon,E
canoe,E
car,E
carrot,E
castle,E
cat,E
ceiling fan,M
cello,H
cell phone,H
chair,E
chandelier,E
church,M
circle,E
clarinet,H
clock,E
cloud,E
coffee cup,M
compass,M
computer,M
cookie,M
cooler,M
couch,M
cow,M
crab,M
crayon,M
crocodile,M
crown,E
cruise ship,H
cup,M
diamond,E
dishwasher,H
diving board,H
dog,M
dolphin,M
donut,E
door,E
dragon,M
dresser,H
drill,M
drums,E
duck,E
dumbbell,E
ear,E
elbow,M
elephant,M
envelope,M
eraser,M
eye,E
eyeglasses,M
face,E
fan,E
feather,E
fence,M
finger,E
fire hydrant,E
fireplace,E
firetruck,M
fish,E
flamingo,H
flashlight,E
flip flops,H
floor lamp,H
flower,E
flying saucer,M
foot,E
fork,E
frog,M
frying pan,H
garden,H
garden hose,H
giraffe,E
goatee,H
golf club,H
grapes,E
grass,E
guitar,E
hamburger,E
hammer,E
hand,E
harp,E
hat,E
headphones,M
hedgehog,M
helicopter,E
helmet,H
hexagon,E
hockey puck,H
hockey stick,H
horse,M
hospital,H
hot air balloon,E
hot dog,E
hot tub,M
hourglass,E
house,E
house plant,H
hurricane,M
ice cream,E
jacket,M
jail,H
kangaroo,M
key,E
keyboard,E
knee,M
knife,E
ladder,E
lantern,E
laptop,H
leaf,E
leg,M
light bulb,E
lighter,M
lighthouse,M
lightning,E
line,E
lion,M
lipstick,M
lobster,M
lollipop,E
mailbox,E
map,M
marker,M
matches,M
megaphone,M
mermaid,M
microphone,E
microwave,H
monkey,M
moon,E
mosquito,M
motorbike,M
mountain,M
mouse,M
moustache,M
mouth,M
mug,M
mushroom,M
nail,M
necklace,M
nose,E
ocean,H
octagon,E
octopus,M
onion,M
oven,H
owl,H
paintbrush,E
paint can,M
palm tree,E
panda,M
pants,M
paper clip,E
parachute,M
parrot,M
passport,H
peanut,E
pear,E
peas,E
pencil,E
penguin,M
piano,M
pickup truck,H
picture frame,M
pig,E
pillow,E
pineapple,E
pizza,E
pliers,M
police car,H
pond,M
pool,M
popsicle,M
postcard,M
potato,M
power outlet,M
purse,M
rabbit,E
raccoon,M
radio,M
rain,M
rainbow,E
rake,M
remote control,M
rhinoceros,M
rifle,M
river,M
roller coaster,M
rollerskates,M
sailboat,H
sandwich,M
saw,M
saxophone,M
school bus,H
scissors,E
scorpion,E
screwdriver,E
sea turtle,H
see saw,H
shark,H
sheep,E
shoe,E
shorts,M
shovel,E
sink,M
skateboard,E
skull,E
skyscraper,H
sleeping bag,H
smiley face,E
snail,E
snake,E
snorkel,H
snowflake,M
snowman,E
soccer ball,M
sock,M
speedboat,M
spider,M
spoon,M
spreadsheet,H
square,E
squiggle,H
squirrel,H
stairs,E
star,E
steak,H
stereo,H
stethoscope,H
stitches,H
stop sign,H
stove,H
strawberry,E
streetlight,H
string bean,H
submarine,H
suitcase,H
sun,E
swan,E
sweater,H
swing set,H
sword,E
syringe,E
table,E
teapot,E
teddy-bear,E
telephone,E
television,E
tennis racquet,E
tent,E
The Eiffel Tower,M
The Great Wall of China,H
The Mona Lisa,H
tiger,M
toaster,M
toe,M
toilet,M
tooth,M
toothbrush,E
toothpaste,M
tornado,E
tractor,M
traffic light,E
train,M
tree,E
triangle,E
trombone,M
truck,M
trumpet,M
t-shirt,M
umbrella,E
underwear,M
van,H
vase,E
violin,M
washing machine,H
watermelon,M
waterslide,H
whale,M
wheel,E
windmill,E
wine bottle,E
wine glass,E
wristwatch,H
yoga,H
zebra,M
zigzag,M
